llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo
91566304103.0,91566304,915663041,9,9,34,2,Mujer,5.0,2,No tiene discapacidad,1,1.0,0.0,0.0,0.0,1.0,0.0,45.0,0.0,3553,1,0,0,0,1,0,1,0
90306105101.0,90306105,903061051,9,9,80,2,Mujer,2.0,2,No tiene discapacidad,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5332,0,0,0,0,0,0,0,0
90327901101.0,90327901,903279011,9,9,75,2,Mujer,2.0,2,No tiene discapacidad,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4026,1,0,0,1,0,0,0,0
90327901102.0,90327901,903279011,9,9,40,2,Mujer,4.0,2,No tiene discapacidad,5,5.5,0.0,0.0,3.5,2.0,0.0,0.0,0.0,3966,1,0,0,1,1,0,0,0
90327901103.0,90327901,903279011,9,9,50,1,Hombre,3.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,4029,0,0,0,0,0,0,1,0
90327901104.0,90327901,903279011,9,9,22,1,Hombre,3.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,4082,0,0,0,0,0,0,1,0
90327901105.0,90327901,903279011,9,9,18,1,Hombre,3.0,2,No tiene discapacidad,1,0.5,0.0,0.0,0.0,0.0,0.5,36.0,0.0,4050,1,0,0,0,0,1,1,0
90327901106.0,90327901,903279011,9,9,14,1,Hombre,2.0,2,No tiene discapacidad,4,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,4039,1,0,0,0,0,1,0,0
90688401101.0,90688401,906884011,9,9,24,1,Hombre,2.0,2,No tiene discapacidad,1,4.0,0.0,0.0,0.0,4.0,0.0,72.0,0.0,4252,1,0,0,0,1,0,1,0
90688401102.0,90688401,906884011,9,9,36,2,Mujer,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4131,0,0,0,0,0,0,1,0
90688402101.0,90688402,906884021,9,9,44,1,Hombre,2.0,2,No tiene discapacidad,1,10.5,0.0,0.0,0.0,10.5,0.0,88.0,0.0,4269,1,0,0,0,1,0,1,0
90688402102.0,90688402,906884021,9,9,44,2,Mujer,2.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,50.0,0.0,4131,1,0,0,0,1,0,1,0
90688402103.0,90688402,906884021,9,9,22,1,Hombre,3.0,1,Sí tiene discapacidad,1,0.08333333333333,0.0,0.0,0.0,0.08333333333333,0.0,40.0,0.0,4252,1,0,0,0,1,0,1,0
90688402104.0,90688402,906884021,9,9,15,2,Mujer,2.0,2,No tiene discapacidad,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4203,0,0,0,0,0,0,0,0
90688403101.0,90688403,906884031,9,9,62,1,Hombre,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,4166,0,0,0,0,0,0,1,0
90861105105.0,90861105,908611051,9,9,12,2,Mujer,2.0,2,No tiene discapacidad,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4109,0,0,0,0,0,0,0,0
90861105106.0,90861105,908611051,9,9,56,1,Hombre,3.0,2,No tiene discapacidad,1,7.16666666666666,4.66666666666666,0.0,0.0,2.5,0.0,40.0,0.0,4135,1,1,0,0,1,0,1,0
90875602101.0,90875602,908756021,9,9,42,1,Hombre,3.0,1,Sí tiene discapacidad,1,11.0,0.0,0.0,7.0,4.0,0.0,112.0,0.0,4078,1,0,0,1,1,0,1,0
91597902104.0,91597902,915979021,9,9,22,2,Mujer,3.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,4672,0,0,0,0,0,0,1,0
91597902105.0,91597902,915979021,9,9,18,2,Mujer,4.0,2,No tiene discapacidad,5,4.33333333333333,0.0,0.0,0.0,4.33333333333333,0.0,0.0,0.0,4667,1,0,0,0,1,0,0,0
91597903101.0,91597903,915979031,9,9,35,1,Hombre,2.0,2,No tiene discapacidad,1,47.0,0.0,0.0,37.0,10.0,0.0,54.0,0.0,4654,1,0,0,1,1,0,1,0
91597903102.0,91597903,915979031,9,9,25,2,Mujer,2.0,2,No tiene discapacidad,1,22.5,0.0,0.0,15.0,7.5,0.0,36.0,0.0,4618,1,0,0,1,1,0,1,0
91566305101.0,91566305,915663051,9,9,59,2,Mujer,4.0,2,No tiene discapacidad,1,2.5,0.0,0.0,0.0,2.5,0.0,6.0,0.0,3513,1,0,0,0,1,0,1,0
91566305102.0,91566305,915663051,9,9,33,1,Hombre,4.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,44.0,0.0,3656,1,0,0,0,1,0,1,0
91566305103.0,91566305,915663051,9,9,28,1,Hombre,4.0,2,No tiene discapacidad,1,1.5,0.0,0.0,0.0,1.5,0.0,35.0,0.0,3632,1,0,0,0,1,0,1,0
91566305104.0,91566305,915663051,9,9,25,1,Hombre,3.0,2,No tiene discapacidad,1,1.83333333333333,0.0,0.0,0.0,1.83333333333333,0.0,36.0,0.0,3632,1,0,0,0,1,0,1,0
91566305105.0,91566305,915663051,9,9,26,1,Hombre,4.0,2,No tiene discapacidad,1,3.83333333333333,0.0,0.0,0.0,3.83333333333333,0.0,28.0,0.0,3632,1,0,0,0,1,0,1,0
91581001101.0,91581001,915810011,9,9,50,2,Mujer,2.0,2,No tiene discapacidad,1,1.5,0.0,0.0,0.0,1.5,0.0,99.0,0.0,4830,1,0,0,0,1,0,1,0
91581001102.0,91581001,915810011,9,9,53,1,Hombre,3.0,2,No tiene discapacidad,1,5.33333333333333,0.0,0.0,0.0,5.33333333333333,0.0,77.0,0.0,4877,1,0,0,0,1,0,1,0
90679301102.0,90679301,906793011,9,9,47,1,Hombre,3.0,2,No tiene discapacidad,1,7.5,0.0,0.0,0.0,7.5,0.0,59.0,0.0,4736,1,0,0,0,1,0,1,0
90679301103.0,90679301,906793011,9,9,17,2,Mujer,3.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4721,0,0,0,0,0,0,1,0
90679303101.0,90679303,906793031,9,9,65,2,Mujer,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,4673,0,0,0,0,0,0,1,0
90679304101.0,90679304,906793041,9,9,44,2,Mujer,2.0,2,No tiene discapacidad,1,12.5,0.0,0.0,12.5,0.0,0.0,12.0,0.0,4639,1,0,0,1,0,0,1,0
90679304102.0,90679304,906793041,9,9,63,2,Mujer,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,4633,0,0,0,0,0,0,1,0
90679304103.0,90679304,906793041,9,9,22,1,Hombre,4.0,2,No tiene discapacidad,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,4776,1,0,0,1,0,0,0,1
90679305101.0,90679305,906793051,9,9,83,1,Hombre,1.0,1,Sí tiene discapacidad,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4838,0,0,0,0,0,0,0,0
91597903103.0,91597903,915979031,9,9,13,2,Mujer,2.0,2,No tiene discapacidad,4,3.83333333333333,0.0,0.0,3.83333333333333,0.0,0.0,0.0,0.0,4643,1,0,0,1,0,0,0,0
91597904101.0,91597904,915979041,9,9,63,1,Hombre,2.0,1,Sí tiene discapacidad,6,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4626,1,0,0,0,1,0,0,0
91597904102.0,91597904,915979041,9,9,58,2,Mujer,2.0,2,No tiene discapacidad,1,7.5,7.5,0.0,0.0,0.0,0.0,30.0,0.0,4542,1,1,0,0,0,0,1,0
91597905101.0,91597905,915979051,9,9,27,1,Hombre,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,4696,0,0,0,0,0,0,1,0
91597905102.0,91597905,915979051,9,9,29,2,Mujer,2.0,2,No tiene discapacidad,1,17.66666666666666,0.0,0.0,17.16666666666666,0.5,0.0,25.0,0.0,4618,1,0,0,1,1,0,1,0
91597905103.0,91597905,915979051,9,9,26,2,Mujer,3.0,2,No tiene discapacidad,5,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4618,1,0,0,0,1,0,0,0
91597905104.0,91597905,915979051,9,9,13,2,Mujer,2.0,2,No tiene discapacidad,4,3.25,0.0,0.0,0.75,2.5,0.0,0.0,0.0,4643,1,0,0,1,1,0,0,0
90719705104.0,90719705,907197051,9,9,15,1,Hombre,2.0,2,No tiene discapacidad,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4843,0,0,0,0,0,0,0,0
90727501101.0,90727501,907275011,9,9,56,1,Hombre,4.0,2,No tiene discapacidad,1,17.5,0.0,0.0,0.0,17.5,0.0,29.0,0.0,3786,1,0,0,0,1,0,1,0
90727501102.0,90727501,907275011,9,9,21,2,Mujer,4.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,66.0,0.0,3786,1,0,0,0,1,0,1,0
90727501103.0,90727501,907275011,9,9,19,2,Mujer,3.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3782,0,0,0,0,0,0,1,0
90727501104.0,90727501,907275011,9,9,17,2,Mujer,3.0,2,No tiene discapacidad,4,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3782,1,0,0,0,1,0,0,0
